id,module_name,table_name,action,status,user_id,details,ip,user_agent,created_at
"f891db95-297d-4cdf-bf25-101f93821988","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:46:50.778000"
"051cd6d0-998f-4606-a810-bf0ba4eb6d90","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:46:40.093000"
"4f56262d-bc01-4072-920d-ca00f9db3d5e","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:46:17.406000"
"6fb7cc99-aad9-4d6f-b9db-4450edf30b0e","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:43:22.526000"
"513aa6ac-48f6-418c-b74b-ac6b2c71ba19","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:43:13.714000"
"5137be45-7037-4e00-9d15-fd7ead8bec2a","audit","lead","convert","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:36.835000"
"d71e2c23-6217-4400-900c-7508afd4bd5c","audit","lead","convert","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:36.572000"
"c0a2a807-d741-4d8a-b513-4e0ecfac926e","audit","lead","convert","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:36.294000"
"4b839d30-cd8e-4a6c-bd03-543313c2156d","audit","lead","convert","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:36.038000"
"1b1d427b-24af-47f7-bf1e-9071016498a5","audit","lead","update","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:35.739000"
"85de464d-4032-4a56-a333-98568e661212","audit","lead","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:35.466000"
"ec83f9b0-dcc3-4693-a01d-e73d6203f857","audit","lead","update","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:35.172000"
"72cf4f8a-4948-4689-a441-6eaab2132ffc","audit","lead","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:34.889000"
"5a72368b-c9d5-4ee9-8b61-765e5a0bd010","audit","lead","update","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:34.625000"
"9dfc94d2-b7d7-4ff5-aa4a-1f74de846e83","audit","lead","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:34.363000"
"c438fbb7-b182-4485-80bf-3d82d3b66010","audit","lead","update","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:34.081000"
"c87fd7ec-2069-47b0-8cc2-9031c1e19588","audit","lead","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:33.799000"
"15717d42-646e-4b0c-84de-9106e456a350","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:42:31.581000"
"3b629eae-58e5-4548-906e-5c82bc988c80","audit","contact","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:10.528000"
"f1fc5bd3-c962-4e03-b5f8-fd5bcc964638","audit","contact","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:10.292000"
"a0001aca-283f-4c79-a0b2-fb873c4f53c1","audit","contact","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:10.045000"
"28215e16-c460-4049-964c-67161b71c6ef","audit","contact","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:42:09.784000"
"5985d408-15a2-4413-aad9-a92f18ec284b","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:42:08.712000"
"594c1d90-a136-48bc-89ac-1d6e90ecdb09","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:41:14.508000"
"d7f71eb0-8a94-44b6-9738-fb9f7f47bbcf","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:41:06.587000"
"335c0ab0-56ef-4ba5-929c-f7e347573b42","auth","users","login","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",,,,"2025-09-11T07:40:54.380000"
"07f30fcd-8101-4a53-bae4-f58dffcbe19e","audit","company","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:39:24.361000"
"fdb321d3-68d8-4b17-ba60-d0e24aa71e72","audit","company","create","success","7797f71e-8c03-4b18-8e08-f0ffcc43dce4",[object Object],,,"2025-09-11T07:39:23.846000"
